Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;44;30-39 ans;2003;600;Sportive;False
Homme;3;53;60-69 ans;1980;1000;Routière / GT;False
Homme;1;26;40-49 ans;2001;1300;Routière / GT;False
Homme;3;92;50-59 ans;2010;1300;Routière / GT;False
Homme;3;60;50-59 ans;2006;1300;Routière / GT;False
Homme;1;73;60-69 ans;2012;1690;Routière / GT;False
Homme;2;78;50-59 ans;2018;1050;Roadster;False
Homme;2;83;30-39 ans;2011;700;Trail / Supermotard;False
Femme;1;51;30-39 ans;2019;125;Roadster;False
Homme;1;60;30-39 ans;2011;1000;Routière / GT;False
Homme;2;33;60-69 ans;2012;1300;Routière / GT;False
Homme;1;84;60-69 ans;2005;1300;Custom;True
Homme;1;91;30-39 ans;2002;650;Scooter;True
Homme;1;31;50-59 ans;2006;1300;Routière / GT;False
Homme;1;34;60-69 ans;2015;1300;Routière / GT;False
Homme;1;13;40-49 ans;2013;675;Sportive;False
Homme;1;78;50-59 ans;2012;700;Scooter;False
Homme;3;67;70 et plus;1999;750;Roadster;False
Homme;3;43;60-69 ans;2013;1800;Routière / GT;False
Homme;5;13;50-59 ans;2013;1190;Trail / Supermotard;False
Homme;2;78;50-59 ans;2005;1200;Roadster;False
Homme;2;38;40-49 ans;1999;800;Routière / GT;False
Homme;1;26;30-39 ans;2017;750;Routière / GT;False
Homme;2;74;50-59 ans;2012;1600;Routière / GT;False
Homme;1;92;60-69 ans;1999;1100;Roadster;False
Homme;3;65;60-69 ans;2006;1400;Roadster;False
Homme;1;26;50-59 ans;2015;1000;Roadster;True
Homme;1;13;40-49 ans;2005;1000;Trail / Supermotard;False
Homme;1;92;50-59 ans;2013;1600;Routière / GT;False
Femme;3;76;40-49 ans;2003;600;Roadster;True
