Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103210460;Danger circulation perte;;;;Danger circulation perte;;;;;Difficulté d'approvisionnement Augmentation considérable de la charge de travail prof;;;;;;;;Moins de monde sur les routes;;;;;;;;
103211056;ballade découverte plaisir;;ballade découverte plaisir;ballade découverte plaisir;;;;;;aucun, étant pragmatique, il faut s'adapter.;aucun, étant pragmatique, il faut s'adapter.;;;;;;;cela m'a permis de réfléchir sur notre façon de vivre actuellement et comment améliorer en tenant compte de l'environnement;;;;;;;;
103211571;Liberté retrouvée Distanciation physique On bouge un peu;Liberté retrouvée Distanciation physique On bouge un peu;;;;;;;;Privation quasi totale de liberté, Manipulation de l'opinion, Nous avons été traités comme si nous étions de jeunes enfants sans la moindre capacité de discernement, Mensonge d'état sur le sujet des masques. Je me suis cru un moment en chine ou dans l'ex URSS.;;Privation quasi totale de liberté, Manipulation de l'opinion, Nous avons été traités comme si nous étions de jeunes enfants sans la moindre capacité de discernement, Mensonge d'état sur le sujet des masques. Je me suis cru un moment en chine ou dans l'ex URSS.;;;;;;Permettre aux hôpitaux de ne pas avoir plus de gens gravement malades que de possibilités de les soigner.;;;;;;;;
103211647;pas sur pas le gout pchycose générale pas évidente a gérer;;;;;;;;;ne pas pouvoir rouler ne pas avoir de contact  monté de l'anxiété généralisé.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103210944;batterie pneus à plat;;;;;;;;;La privation de liberté de mouvement.;;La privation de liberté de mouvement.;;;;;;Avantage sanitaire, sinon aucun avantage.;;;;;;;;
103212272;montagne virée virages;;;;;;;;;le manque de nature...;;;;;;;;Economie financiére.;;;;;;Economie financiére.;;
103192370;Ballade Respirer Plaisir;;Ballade Respirer Plaisir;Ballade Respirer Plaisir;;;;;;Horizon très réduit;;;;;;;;Découverte du télétravail;;;;;;;;
103212447;dommage bruit stop;;;;;;;;;pas pouvoir faire de vélo;;;;;;;;le calme le calme le calme x 1000;;;le calme le calme le calme x 1000;;;;;
103212614;Grand prix moto Balade moto avec les copains Journée circuit;;;Grand prix moto Balade moto avec les copains Journée circuit;;Grand prix moto Balade moto avec les copains Journée circuit;;;;J'ai été freiné dans les travaux de rénovation de ma maison;;;;;;;;Faire tout ce qu'on remettait à plus tard par manque de temps;;;Faire tout ce qu'on remettait à plus tard par manque de temps;;;;;
103212251;Prudence Attendre Crainte;;;;;;;;;Pas de sorties quotidiennes, une seule course en moto (20 km) Ravitaillement minimum avec la crainte du virus et la hantise de contaminer la personne à haut risuqe que nous aidons.;;Pas de sorties quotidiennes, une seule course en moto (20 km) Ravitaillement minimum avec la crainte du virus et la hantise de contaminer la personne à haut risuqe que nous aidons.;;Pas de sorties quotidiennes, une seule course en moto (20 km) Ravitaillement minimum avec la crainte du virus et la hantise de contaminer la personne à haut risuqe que nous aidons.;;;;Aucun, peut-être un potager mieux tenu.;Aucun, peut-être un potager mieux tenu.;;;;;;;
103212841;police... gaz limite 100 km;;;police... gaz limite 100 km;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Absence de trajet domicile - travail Aucune distraction pouvant m'éviter de faire mes travaux;;;;;;;;
103212658;enfin balades sorties;;enfin balades sorties;enfin balades sorties;;;;;;Procédure à suivre pour faire les courses, Pas de visite à la famille, Suppression de plusieurs sorties moto planifiées.;;Procédure à suivre pour faire les courses, Pas de visite à la famille, Suppression de plusieurs sorties moto planifiées.;;Procédure à suivre pour faire les courses, Pas de visite à la famille, Suppression de plusieurs sorties moto planifiées.;;;;Diminution du trafic et de ses bruits (routier & aérien).;;;;;;;;
103212778;bof bof bof;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;teletravail à 100% du temps;;;teletravail à 100% du temps;;;;;
103212719;Ouf ! Convivialité Roulage avec le groupe motar;;;;;;;;;Pas rouler avec mon groupe motards;;;;;;;;Avoir fait beaucoup de tâches extérieure dans notre maison;;;;;;;;
103210064;toujours prêt plus de motard à saluer il fait beau;;;;;;;;;réduction d'activité mais pas en 2 roues;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103213054;ballade bonheur ;;ballade bonheur ;ballade bonheur ;;;;;;ennuis;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103213143;Peur Prudence Panique;;;;;;;;;Le contact humain est très important et toute l'électronique ne remplacera pas les interférences entre les humains;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103214068;Pas trop tôt Rouler Sortie;;;Pas trop tôt Rouler Sortie;;;;;;Le confinement;;;;;;;;Ne plus perdre de temps pour aller au bureau;;;Ne plus perdre de temps pour aller au bureau;;;;;
103214557;enfin liberté visites;enfin liberté visites;enfin liberté visites;;;;;;;ne pas voir la famille, les amis et ne pas pouvoir faire de balade motorisée;;ne pas voir la famille, les amis et ne pas pouvoir faire de balade motorisée;;ne pas voir la famille, les amis et ne pas pouvoir faire de balade motorisée;;;;temps pour bricoler et lire et se reposer;;;temps pour bricoler et lire et se reposer;;;;;
103214582;Rouler Libre Beau temps;;;Rouler Libre Beau temps;;;;;;Moins de déplacement;;Moins de déplacement;;;;;;Moins de temps de déplacement;;;Moins de temps de déplacement;;;;;
103214389;Sortie Entretien Projet;;;;;;;;;Plus de moment seul à la maison.;;;;;;;;Plus de temps pour faire des choses à la maison.;;;Plus de temps pour faire des choses à la maison.;;;;;
103214521;enfin liberté passion;enfin liberté passion;enfin liberté passion;;;;;;;"Impossibilité de voir les amis/la famille ""en vrai"", impossibilité de pratiquer certaines activités, contraintes pour faire les courses.";;"Impossibilité de voir les amis/la famille ""en vrai"", impossibilité de pratiquer certaines activités, contraintes pour faire les courses.";;"Impossibilité de voir les amis/la famille ""en vrai"", impossibilité de pratiquer certaines activités, contraintes pour faire les courses.";;;;Tranquillité à la maison, gain de temps sur les trajets domicile/travail (car télétravail), calme dans mon quartier (moins de circulation), plus d'activité en famille, plus de temps pour faire certaines choses;;Tranquillité à la maison, gain de temps sur les trajets domicile/travail (car télétravail), calme dans mon quartier (moins de circulation), plus d'activité en famille, plus de temps pour faire certaines choses;Tranquillité à la maison, gain de temps sur les trajets domicile/travail (car télétravail), calme dans mon quartier (moins de circulation), plus d'activité en famille, plus de temps pour faire certaines choses;;;;;
103214713;Soleil Balade Gaz;;;Soleil Balade Gaz;;;;;;Etre enfermé;;Etre enfermé;;;;;;Repos, se recentrer.;;;Repos, se recentrer.;;;;;
103214842;liberté amis repirse activité pro plus facile;liberté amis repirse activité pro plus facile;;;;liberté amis repirse activité pro plus facile;;;;liberté de se deplacer comme on le souhaite;;liberté de se deplacer comme on le souhaite;;;;;;j'ai pris le temps de refaire mon site internet et passez du temps avec ma famille;;;j'ai pris le temps de refaire mon site internet et passez du temps avec ma famille;;;;;
103214801;plaisir liberté envie;plaisir liberté envie;plaisir liberté envie;;;;;;;je n'ai plus vu ma famille;;;;je n'ai plus vu ma famille;;;;prise de conscience de l'inutilité de certains comportements , possibilité de réduire les déplacements et du surplus de biens materiels amassés dans mon habitation;;;;;;;;
103214890;REPRISE BALADE LIBERTE;REPRISE BALADE LIBERTE;;REPRISE BALADE LIBERTE;;;;;;l'arrêt brutale des liens avec les proches, la famille;;;;l'arrêt brutale des liens avec les proches, la famille;;;;reprendre le temps de vivre. Encore plus apprécier les choses simples de la vie;;;reprendre le temps de vivre. Encore plus apprécier les choses simples de la vie;;;;;
103214932;Liberté Sensation Passion;Liberté Sensation Passion;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103215201;mobilité liberté ;mobilité liberté ;;;;;;;;Pratique de la course à pied plus difficile et seul;;;;;;;;La vie de famille et le jardin;;;;;;;;
103218918;enfin arsouille virolet;;enfin arsouille virolet;;;;;;;Pas de sport, pas de moto, pas le moral.;;Pas de sport, pas de moto, pas le moral.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103219311;espace extérieur convivialité;;;;;;;;;enfermemement;;enfermemement;;;;;;reflexion;;;;;;;;
103219463;Liberté Amis Plaisir;Liberté Amis Plaisir;Liberté Amis Plaisir;;;Liberté Amis Plaisir;;;;Restrictions de déplacement trop contraignantes.;;Restrictions de déplacement trop contraignantes.;;;;;;Circulation plus fluide Moins de bruit;;Circulation plus fluide Moins de bruit;;;;;;
103219875;sortie mer passagère;;;;;;;;;Vélo dans un rayon d'1km en pleine campagne;;;;;;;;Télétravail full time;;;;;;;;
103219860;rouler liberté où je veux;rouler liberté où je veux;;rouler liberté où je veux;;;;;;+ 10 kgs ce qui est mauvais pour mon rapport poids/puissance;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103220581;rouler partir liberté;rouler partir liberté;;rouler partir liberté;;;;;;le manque de liberté;;le manque de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103220739;balades consommer moins déménager en province;;;balades consommer moins déménager en province;;;;;;Perte future de CA pour l'entreprise : les prospects ont repoussés leurs projets. A titre perso, manque de balades à moto, manque de contacts avec mon réseau physique d'amis motards;;Perte future de CA pour l'entreprise : les prospects ont repoussés leurs projets. A titre perso, manque de balades à moto, manque de contacts avec mon réseau physique d'amis motards;;Perte future de CA pour l'entreprise : les prospects ont repoussés leurs projets. A titre perso, manque de balades à moto, manque de contacts avec mon réseau physique d'amis motards;;;;Travail plus concentré , (re)découverte de la vie en couple , pas de moto, plus de temps pour la marche, la découverte de mon quartier;;;Travail plus concentré , (re)découverte de la vie en couple , pas de moto, plus de temps pour la marche, la découverte de mon quartier;;;;;
103220627;Enfin Liberté .promenade;Enfin Liberté .promenade;Enfin Liberté .promenade;Enfin Liberté .promenade;;;;;;Comme il faisait beau,l extérieur pour les loisirs.moto ,vélo.;;Comme il faisait beau,l extérieur pour les loisirs.moto ,vélo.;;;;;;Le calme .a l intérieur comme a l extérieur.  Cela donne une plus grande facilité à penser.;;;Le calme .a l intérieur comme a l extérieur.  Cela donne une plus grande facilité à penser.;;;;;
103221268;liberté sensation plaisir;liberté sensation plaisir;liberté sensation plaisir;;;;;;;sensation de surveillance;;;;;;;;économie;;;;;;économie;;
103221077;libéré amitié révision;;;;;libéré amitié révision;;;;ralentir l'immunisation;;;;;;;;ralentir la propagation du virus;;;;;ralentir la propagation du virus;;;
103222153;liberté route pilotage;liberté route pilotage;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103222219;liberté ballade plaisir;liberté ballade plaisir;liberté ballade plaisir;liberté ballade plaisir;;;;;;mopins de vie sociale, ne pas pouvoir rendre visite aux parents, enfants, copains;;;;mopins de vie sociale, ne pas pouvoir rendre visite aux parents, enfants, copains;;;;reprendre la maitrise de son temps arreter de courir partout...;;;reprendre la maitrise de son temps arreter de courir partout...;;;;;
103222773;Amitiés Plaisir Liberté;Amitiés Plaisir Liberté;Amitiés Plaisir Liberté;;;Amitiés Plaisir Liberté;;;;Moins de sport;;;;;;;;Bricolage;;;;;;;;
103222982;joie liberté copains;joie liberté copains;;;;joie liberté copains;;;;un peu plus de stress du fait des risques supposés sanitaires et des risques de contrôle par les gendarmes;;;;;;;;le calme. plus de bruit dans la rue.;;;le calme. plus de bruit dans la rue.;;;;;
103222759;gaz gaz gaz;;;gaz gaz gaz;;;;;;La vie de famille;;;;La vie de famille;;;;Le repos;;;Le repos;;;;;
103224089;liberté plaisir environnement;liberté plaisir environnement;liberté plaisir environnement;;;;;;;moins de contacts humains;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103224419;Liberté Balades Plaisir;Liberté Balades Plaisir;Liberté Balades Plaisir;Liberté Balades Plaisir;;;;;;Restriction de la liberté de circuler;;Restriction de la liberté de circuler;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103225045;Moto Balade Vacances;;;Moto Balade Vacances;;;;;;Besoin de bouger...!;;Besoin de bouger...!;;;;;;Plein !;;;;;;;;
103225336;Enfin Super Cool;;Enfin Super Cool;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103225301;Liberté Balade Amis;Liberté Balade Amis;;Liberté Balade Amis;;Liberté Balade Amis;;;;Pas de vie sociale et longue attente devant les commerces;;;;Pas de vie sociale et longue attente devant les commerces;;;;Aucun avantage;Aucun avantage;;;;;;;
103225540;Aïe ! bruit pollution;;;;;;;;;Manque de coiffeur !;;;;;;;;Calme, respiration, baisse de pollution, Réflexion;;;Calme, respiration, baisse de pollution, Réflexion;Calme, respiration, baisse de pollution, Réflexion;;;;
103225640;enfin liberté ;enfin liberté ;enfin liberté ;;;;;;;ne plus voir les amis;;;;ne plus voir les amis;;;;Aucun avantage;Aucun avantage;;;;;;;
103226058;plaisir liberté nature;plaisir liberté nature;plaisir liberté nature;;;;;;;bloqué chez moi;;bloqué chez moi;;;;;;plus de temps libre;;;plus de temps libre;;;;;
103225941;Liberté Plaisir Distance limitée à 100 km;Liberté Plaisir Distance limitée à 100 km;Liberté Plaisir Distance limitée à 100 km;;;;;;;Perte de liberté de se déplacer.;;Perte de liberté de se déplacer.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103226066;rouler  ;;;rouler  ;;;;;;Ne pas voir les amis .;;;;Ne pas voir les amis .;;;;Ayant la chance d'habiter la campagne et d'avoir un jardin: des activites en famille ( enfant pas à l'école) , Ranger maison et jardin , explorer les alentours non encore connus à vélo et en famille.;;;;;;;;
103226543;Faire une sortie cool  ;;;;;;;;;Ne pas pouvoir sortir librement;;Ne pas pouvoir sortir librement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103226748;rouler sport business;;;rouler sport business;;;;;;Ralentissement de l'activité économique. Impossibilité de faire des contacts avec des investisseurs. Annulation de 80% des épreuves es rallyes routiers (épreuve sportive FFM);;;;;;;;Moins de déplacement pour le travail. Plus de temps pour travailler. Economie dépenses.;;;Moins de déplacement pour le travail. Plus de temps pour travailler. Economie dépenses.;;;Moins de déplacement pour le travail. Plus de temps pour travailler. Economie dépenses.;;
103226526;Balade virages petites routes;;;Balade virages petites routes;;;;;;Pas de sortie moto ni de vélo;;Pas de sortie moto ni de vélo;;;;;;Télétravail à la maison;;;;;;;;
103227392;liberté fraternité balade;liberté fraternité balade;;liberté fraternité balade;;;;;;le manque de liens sociaux physique ne pas pouvoir rouler a moto pour des balades;;le manque de liens sociaux physique ne pas pouvoir rouler a moto pour des balades;;le manque de liens sociaux physique ne pas pouvoir rouler a moto pour des balades;;;;la nature a repris ses droits  la pollution a diminuée du fait de l'arret de certaines activités industrielles et des vehicules;;;;la nature a repris ses droits  la pollution a diminuée du fait de l'arret de certaines activités industrielles et des vehicules;;;;
103227659;Révision Essence Balade;;;Révision Essence Balade;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Moins de déplacement;;;;;;;;
103227548;prudence liberté communauté;prudence liberté communauté;;;;;;;;une peur schizophrène de l'autre;;;;;;;;moins d'activité humaine ce qui laisse la place aux liens familiaux et à la Nature;;;;moins d'activité humaine ce qui laisse la place aux liens familiaux et à la Nature;;;;
103228877;Gaz Sorties Virages;;;Gaz Sorties Virages;;;;;;Pas de sorties possibles;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103229092;Plein air Liberté Sécurité;Plein air Liberté Sécurité;;;Plein air Liberté Sécurité;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180510;Respire Liberté convivialité ;Respire Liberté convivialité ;;;;;;;;Restriction de indéplacements;;Restriction de indéplacements;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103229394;beau temps balade liberté;beau temps balade liberté;;beau temps balade liberté;;;;;;la crise économique à venir;;;;;;;;la protection de ma santé et celle des autres;;;;;;;;
103231280;Attention! Ou ? Quand?;;;;;;;;;Pas de contact avec famille, inquiétude de santé, multiplication des rumeurs;;;;Pas de contact avec famille, inquiétude de santé, multiplication des rumeurs;;;;Épargne forcée, du temps pour des travaux de bricolage sans cesse remis.;;;Épargne forcée, du temps pour des travaux de bricolage sans cesse remis.;;;;;
103231388;Plaisir Liberté Voyage;Plaisir Liberté Voyage;Plaisir Liberté Voyage;;;;;;;Privation de liberté Absence de contacts avec les amis et la famille Discours anxiogène des médias et des politiques Abolition de l'esprit critique des citoyens tétanisés par la peur;;Privation de liberté Absence de contacts avec les amis et la famille Discours anxiogène des médias et des politiques Abolition de l'esprit critique des citoyens tétanisés par la peur;;Privation de liberté Absence de contacts avec les amis et la famille Discours anxiogène des médias et des politiques Abolition de l'esprit critique des citoyens tétanisés par la peur;;;;Prise de recul;;;;;;;;
103231916;super route plaisir;;super route plaisir;;;;;;;baisse salaire;;;;;;;;pas de trajet !;;;;;;;;
103233066;Plaisirs retrouvés Liberté Prudence;Plaisirs retrouvés Liberté Prudence;Plaisirs retrouvés Liberté Prudence;;;;;;;"Le manque de relations ""sociales"" Moins de contacts avec les amis, les voisins, la famille...";;;;"Le manque de relations ""sociales"" Moins de contacts avec les amis, les voisins, la famille...";;;;Une sérénité lors de mes déplacements en deux roues motorisés. Moins de circulation, moins de risques sur la route. enfin, pour les routes que j'empruntais!!! Une activité physique plus soutenue qu'avant et bénéfique.;;Une sérénité lors de mes déplacements en deux roues motorisés. Moins de circulation, moins de risques sur la route. enfin, pour les routes que j'empruntais!!! Une activité physique plus soutenue qu'avant et bénéfique.;;;;;;
103232944;Liberté plaisir nature;Liberté plaisir nature;Liberté plaisir nature;;;;;;;Voir moins ses amis.;;;;Voir moins ses amis.;;;;Plus de calme, moins de pollution.;;;Plus de calme, moins de pollution.;Plus de calme, moins de pollution.;;;;
103233417;balade cévenole prudence liberté;balade cévenole prudence liberté;;balade cévenole prudence liberté;;;;;;Rupture du lien social Impossibilité de faire de la moto, du vélo de route. Stress (peur du gendarme, pas du virus) accompagnant chaque sortie. Professionnellement, beaucoup plus de temps devant l'ordinateur.;;Rupture du lien social Impossibilité de faire de la moto, du vélo de route. Stress (peur du gendarme, pas du virus) accompagnant chaque sortie. Professionnellement, beaucoup plus de temps devant l'ordinateur.;;Rupture du lien social Impossibilité de faire de la moto, du vélo de route. Stress (peur du gendarme, pas du virus) accompagnant chaque sortie. Professionnellement, beaucoup plus de temps devant l'ordinateur.;;;;Je suis presque à jour en jardinage. J'ai progressé en VTT (mais il faut pas le dire) Mon boulot a temporairement été réorienté, ça change.;;;;;;;;
103233588;enfin 100 km seulement il fait beau;;enfin 100 km seulement il fait beau;;;;;;;limitation des déplacements à ma zone géo pro cad le département;;limitation des déplacements à ma zone géo pro cad le département;;;;;;pas confiné donc tranquilité pour rouler en 2 roue sur mon département;;;;;;;;
103233411;Ami(e)s Balades Tourisme;;;Ami(e)s Balades Tourisme;;Ami(e)s Balades Tourisme;;;;L'absence de balade moto, seules les courses limités sur la distance ((60 Km/semaine) et avec les amis motards.;;L'absence de balade moto, seules les courses limités sur la distance ((60 Km/semaine) et avec les amis motards.;;L'absence de balade moto, seules les courses limités sur la distance ((60 Km/semaine) et avec les amis motards.;;;;Un recentrement, une pause...Lecture;;;;;;;;
103233689;BALADES RENCONTRE CONTACTS;;;BALADES RENCONTRE CONTACTS;;;;;;ABSENCE DE CONTACTS;;;;;;;;Tolérance;;;;;;;;
103233788;Balades Ami(e)s Rires;;;Balades Ami(e)s Rires;;Balades Ami(e)s Rires;;;;Un peu les amis et les balades motos;;Un peu les amis et les balades motos;;Un peu les amis et les balades motos;;;;Moins de fatigue et plus de temps pour le sport.;;;Moins de fatigue et plus de temps pour le sport.;;;;;
103234263;Balades Plaisir Liberté;Balades Plaisir Liberté;Balades Plaisir Liberté;Balades Plaisir Liberté;;;;;;Moins de liberté de circuler librement hors trajets domicile-travail.;;Moins de liberté de circuler librement hors trajets domicile-travail.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103234430;liberté rouler découvrir;liberté rouler découvrir;;liberté rouler découvrir;;;;;;rester cloitrer chez soi sans bougr;;;;;;;;avoir du temps;;;avoir du temps;;;;;
103234685;Road trip balade campagne;;;Road trip balade campagne;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Moins de déplacement;;;;;;;;
103234637;Boulot Aération Précaution;;;;;;;;;Modification projet;;;;;;;;Sécurité sanitaire;;;;;;;;
103234876;de l'air ballade reprise en douceur;;;de l'air ballade reprise en douceur;;;;;;magasins fermes;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103235067;plaisir voyage rencontres;;plaisir voyage rencontres;;;;;;;déplacements restreints;;déplacements restreints;;;;;;aucun sauf d'un point de vue sanitaire;aucun sauf d'un point de vue sanitaire;;;;;;;
103236269;Liberté Ride Plaisir;Liberté Ride Plaisir;Liberté Ride Plaisir;;;;;;;Isolement;;Isolement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103237124;circuit gaz genou;;;circuit gaz genou;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103239060;Balade Copains Liberté;Balade Copains Liberté;;Balade Copains Liberté;;Balade Copains Liberté;;;;Perte de contacts;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103239340;gazzzzz liberté bonheur de rouler d'entendre son joli bruit et sentir les odeurs d essence et de mécanique;gazzzzz liberté bonheur de rouler d'entendre son joli bruit et sentir les odeurs d essence et de mécanique;gazzzzz liberté bonheur de rouler d'entendre son joli bruit et sentir les odeurs d essence et de mécanique;gazzzzz liberté bonheur de rouler d'entendre son joli bruit et sentir les odeurs d essence et de mécanique;;;;;;le contact humain,notamment ma clientèle et mes amis m'a beaucoup manqué et rouler à moto! cela a été une torture de voir ma moto dans le garage et ne pas pouvoir en profiter;;le contact humain,notamment ma clientèle et mes amis m'a beaucoup manqué et rouler à moto! cela a été une torture de voir ma moto dans le garage et ne pas pouvoir en profiter;;le contact humain,notamment ma clientèle et mes amis m'a beaucoup manqué et rouler à moto! cela a été une torture de voir ma moto dans le garage et ne pas pouvoir en profiter;;;;prendre le temps de vivre sans me presser,sans stresse,au ralenti,observer beaucoup plus la nature et vivre pleinement avec mes animaux;;;prendre le temps de vivre sans me presser,sans stresse,au ralenti,observer beaucoup plus la nature et vivre pleinement avec mes animaux;prendre le temps de vivre sans me presser,sans stresse,au ralenti,observer beaucoup plus la nature et vivre pleinement avec mes animaux;;;;
103239040;ballade moto 100 kms supermarché pour les boissons fraiches;;;ballade moto 100 kms supermarché pour les boissons fraiches;;;;;;la dépendanse ....;;;;;;;;"le télétravail , vivant en lisière de bois cela a confirmé ""mon privilége""....";;;;;;;;
103240056;libération 100km prudence;;;;;;;;;sentiment d'emprisonnement.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103240417;Balade Rouler profiter;;;Balade Rouler profiter;;;;;;Moins de moto et de sport !;;Moins de moto et de sport !;;;;;;Vie en famille;;;;;;;;
103241553;Amis Détente Plaisir;;Amis Détente Plaisir;;;Amis Détente Plaisir;;;;Ne pas pouvoir voir ses amis Vivre seul;;;;Ne pas pouvoir voir ses amis Vivre seul;;;;Moins de trajet domicile - travail Economie financière J'ai bien fait de vivre à la campagne;;;;;;Moins de trajet domicile - travail Economie financière J'ai bien fait de vivre à la campagne;;
103241782;liberté évasion plaisir;liberté évasion plaisir;liberté évasion plaisir;;;;;;;l'impossibilité de pratiquer mes sports favoris (moto trial et plongée), de rencontrer famille et amis, d'aller au cinéma, au théâtre ou au spectacle (concerts) et d'aller au café ou au restaurant;;l'impossibilité de pratiquer mes sports favoris (moto trial et plongée), de rencontrer famille et amis, d'aller au cinéma, au théâtre ou au spectacle (concerts) et d'aller au café ou au restaurant;;l'impossibilité de pratiquer mes sports favoris (moto trial et plongée), de rencontrer famille et amis, d'aller au cinéma, au théâtre ou au spectacle (concerts) et d'aller au café ou au restaurant;;;;Moins de déplacements, moins de pollution et moins de dépenses;;;;Moins de déplacements, moins de pollution et moins de dépenses;;;;
103242057;Liberté Voyage Rencontre;Liberté Voyage Rencontre;;;;;;;;Isolement, privation de liberté;;Isolement, privation de liberté;;;;;;Pas de déplacement pour aller travailler;;;;;;;;
103244272;amis balade nouvauté;;;amis balade nouvauté;;amis balade nouvauté;;;;garage fermé  ne pas voir sa famille et amis;;;;garage fermé  ne pas voir sa famille et amis;;;;faire du bricolage possibilité d'épargné d'avantage puisque la consommation a diminué (commerce fermé);;;;;;;;
103245991;impec super profiter;;;;;;;;;solitude du soir;;;;;;;;decouvrir les voisins;;;;;;;;
103245980;Enfin! Il était temps! Que ça fait du bien!;;Enfin! Il était temps! Que ça fait du bien!;;;;;;;Nombreux! Et cela dépasse largement le cadre du motard que je suis...Mais c'est un autre débat;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103247383;Enfin ! Rouler ! revoir les potes;;Enfin ! Rouler ! revoir les potes;Enfin ! Rouler ! revoir les potes;;;;;;Plus de balades a moto;;Plus de balades a moto;;;;;;Moins de circulations;;Moins de circulations;;;;;;
103247764;liberté joie bonheur;liberté joie bonheur;liberté joie bonheur;;;;;;;moins de contact avec la famille éloignée;;;;moins de contact avec la famille éloignée;;;;avant je passais en moyenne 1H30 dans les transport,  cj'ai pu passé ce temps en famille;;;avant je passais en moyenne 1H30 dans les transport,  cj'ai pu passé ce temps en famille;;;;;
103248792;balades copains soleil;;;balades copains soleil;;balades copains soleil;;;;rouler avec mon 2 roues et voir les copains;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103249505;Rouler Lierté Plaisir;;Rouler Lierté Plaisir;Rouler Lierté Plaisir;;;;;;La perte de liberté;;La perte de liberté;;;;;;Du silence, du calme,;;;Du silence, du calme,;;;;;
103250680;liberté road-trip sérénité;liberté road-trip sérénité;;;;;;;;une liberté de mouvement restreinte;;une liberté de mouvement restreinte;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103251303;plaisir prudance liberté;plaisir prudance liberté;plaisir prudance liberté;;;;;;;ne pas pouvoir aller aux sports ne pas pouvoir faire de moto (route + piste) limiter les contacts avec d'autres personnes;;ne pas pouvoir aller aux sports ne pas pouvoir faire de moto (route + piste) limiter les contacts avec d'autres personnes;;;;;;le calme  pouvoir prendre le temps meilleure hygiène de vie;;;le calme  pouvoir prendre le temps meilleure hygiène de vie;;;;;
103181492;Amis Sortie Liberte;Amis Sortie Liberte;;;;Amis Sortie Liberte;;;;Ne pas pratiquer mes activites sportives;;;;;;;;Plus de trajet;;;;;;;;
103253488;sorties amis protégés;;;;;sorties amis protégés;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Une remise en question personnelle importante Des vacances ! Moins de stress.;;;Une remise en question personnelle importante Des vacances ! Moins de stress.;;;;;
103254840;balade potes liberté;balade potes liberté;;balade potes liberté;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103254935;Gaz Virées Gaz;;;Gaz Virées Gaz;;;;;;Pas de balade moto;;Pas de balade moto;;;;;;Plus de temps avec ma famille;;;Plus de temps avec ma famille;;;;;
103256149;rouler campagne aérer;;;rouler campagne aérer;;;;;;Les restrictions de sortie, les autorisations à se donner à soi même, tenir ses proches éloignés même quand on pouvait les voir et ne pas voir la plupart de mes amis.;;;;Les restrictions de sortie, les autorisations à se donner à soi même, tenir ses proches éloignés même quand on pouvait les voir et ne pas voir la plupart de mes amis.;;;;Aucun avantage;Aucun avantage;;;;;;;
