Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple avec enfant(s);Homme;3;2;1;49;60-69 ans;2013;MACIF;800;Quelques fois par mois;6000;F800GT;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;ENCADRANT TECHNIQUE;Employé;False
En couple avec enfant(s);Homme;4;2;2;10;60-69 ans;2005;AXA;1450;Quelques fois par semaine;20000;ELECTRA GLIDE CLASSIC;HARLEY-DAVIDSON;Routière / GT;Parking privé clos;Pour les loisirs;500;agriculteur;Agriculteur exploitant;False
En couple avec enfant(s);Homme;3;2;1;14;60-69 ans;2016;MUTUELLE DES MOTARDS;800;Quelques fois par an;8000;SCRAMBLER FULL THROTTLE;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1500;Informaticien;Cadre;False
Seul(e) sans enfant;Femme;1;1;0;75;40-49 ans;2011;ASSURANCE CONSTRUCTEUR (BMW, HONDA, KAWASAKI...);125;Tous les jours;9000;PCX;HONDA;Scooter;Voie publique;Pour les trajets domicile travail;;Ressources humaines;Cadre;False
En couple avec enfant(s);Homme;4;2;2;77;40-49 ans;2019;MACIF;1200;Quelques fois par semaine;12000;SPEED TWIN;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;1;technicien;Employé;False
En couple sans enfant;Homme;2;1;0;93;40-49 ans;2008;EUROPAM;700;Quelques fois par mois;3000;DEAUVILLE C-ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;RESPONSABLE COMMERCIAL;Cadre;False
En couple avec enfant(s);Homme;3;4;1;92;60-69 ans;2017;AXA;1200;Tous les jours;30000;R1200RT PACK (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;1200;Gérant de société;Profession libérale et artistique;False
En couple sans enfant;Homme;2;1;0;42;60-69 ans;2004;MUTUELLE DES MOTARDS;1600;Tous les jours;12000;WILD STAR;YAMAHA;Custom;Garage individuel (ou box privatif);Pour les loisirs;1000;Contrôleur principal finances;Profession intermédiaire;False
En couple sans enfant;Homme;2;1;0;15;50-59 ans;2003;MUTUELLE DES MOTARDS;1200;Quelques fois par an;6000;K1200GT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Cadre de santé;Cadre;False
En couple avec enfant(s);Homme;6;1;4;64;50-59 ans;2011;MUTUELLE DES MOTARDS;800;Tous les jours;12000;CROSSRUNNER (VFR-X);HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;retraité de larmée et ouvrier en maroquinerie de luxe;Ouvrier;True
En couple avec enfant(s);Homme;6;1;4;92;50-59 ans;2010;MUTUELLE DES MOTARDS;400;Tous les jours;12000;MP3 LT (TM);PIAGGIO;Side-car / Trike;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Menuisier;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;2;1;0;11;70 et plus;2017;MACIF;1200;Quelques fois par semaine;7000;Rnine T racer;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;;Photographe;Profession libérale et artistique;False
En couple avec enfant(s);Homme;4;2;2;63;60-69 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;3500;TIGER EXPLORER;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;retraite;Retraité;False
En couple sans enfant;Homme;2;1;0;62;50-59 ans;2009;GMF;1000;Quelques fois par mois;7000;CB 1000FA ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;professeur des écoles;Employé;False
En couple sans enfant;Homme;2;1;0;6;50-59 ans;2013;MUTUELLE DES MOTARDS;1200;Tous les jours;10000;R1200RT 90TH;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Aide soignant;Employé;False
En couple sans enfant;Homme;2;2;0;19;50-59 ans;2014;AXA;650;Quelques fois par an;4000;V-STROM ABS;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;100;technicien sup;Profession libérale et artistique;False
Seul(e) sans enfant;Femme;1;1;0;13;50-59 ans;1996;MUTUELLE DES MOTARDS;125;Quelques fois par semaine;3000;CA REBEL;HONDA;Custom;Garage individuel (ou box privatif);Pour les loisirs;450;Agent de voyages;Employé;False
Seul(e) sans enfant;Homme;1;1;0;89;40-49 ans;2003;AXA;1000;Quelques fois par semaine;10000;VTR  FIRESTORM;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Technicien maintenance;Employé;False
En couple avec enfant(s);Homme;3;1;1;95;40-49 ans;2015;MUTUELLE DES MOTARDS;1200;Tous les jours;20000;R1200GS ABS  PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;1500;Consultant informatique;Cadre;False
En couple avec enfant(s);Homme;4;1;2;31;60-69 ans;2015;AMV (ASSURANCE MOTO VERTE);1200;Quelques fois par semaine;2000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;Ingénieur;Retraité;False
En couple sans enfant;Homme;2;1;0;15;70 et plus;2015;MUTUELLE DES MOTARDS;500;Quelques fois par semaine;8000;CB 500X;HONDA;Roadster;Parking privé clos;Pour les loisirs;;ex education nationale;Retraité;False
Seul(e) avec enfants;Homme;2;2;1;93;50-59 ans;2011;MUTUELLE DES MOTARDS;500;Quelques fois par semaine;3000;BULLET;ENFIELD;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Chargé Moyens Généraux;Cadre;False
En couple sans enfant;Homme;2;1;0;42;60-69 ans;2018;MUTUELLE DES MOTARDS;1260;Quelques fois par semaine;8000;MULTISTRADA S;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;250;Retraite + Autoentrepreneur;Retraité;False
En couple avec enfant(s);Homme;4;1;2;79;40-49 ans;2000;ALLIANZ;600;Quelques fois par semaine;6000;FZS FAZER SP;YAMAHA;Roadster;Parking privé non clos;Pour les trajets domicile travail;;chauffeur accompagnateur;En recherche demploi;False
En couple sans enfant;Homme;2;1;0;13;60-69 ans;2006;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;6500;DEAUVILLE ABS;HONDA;Routière / GT;Parking privé clos;Pour les loisirs;900;retraité;Retraité;False
En couple avec enfant(s);Homme;4;2;2;31;40-49 ans;2014;AMV (ASSURANCE MOTO VERTE);1200;Tous les jours;13000;VFR-F DUAL CT;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur Méthodes;Cadre;False
En couple sans enfant;Homme;2;1;0;72;60-69 ans;2012;MACIF;1200;Quelques fois par mois;4000;R1200R;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;Artisan;Artisan, commerçant assimilé;False
Seul(e) avec enfants;Femme;4;2;3;73;50-59 ans;2000;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;RS-V MILLE;APRILIA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;;Magasinier;Employé;False
En couple sans enfant;Homme;2;1;0;40;60-69 ans;2018;MACIF;850;Quelques fois par semaine;11000;MT-09 ABS (FULL);YAMAHA;Roadster;Autre;Pour les loisirs;1000;semi retraité;Retraité;True
En couple sans enfant;Homme;2;2;0;59;50-59 ans;2003;MACIF;1200;Quelques fois par semaine;4000;ZX-12R NINJA;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;1500;Responsable Qualité Sécurité Environnement;Cadre;False
Seul(e) avec enfants;Homme;3;2;2;34;50-59 ans;2017;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;10000;V-STROM ABS XT;SUZUKI;Roadster;Voie publique;Pour les loisirs;500;gérant dentreprise;Profession libérale et artistique;True
En couple sans enfant;Femme;2;1;0;95;30-39 ans;2017;MUTUELLE DES MOTARDS;900;Quelques fois par mois;4000;STREET TWIN 35KW;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Chargée dEtudes;Cadre;False
En couple avec enfant(s);Femme;4;1;2;33;30-39 ans;2010;MUTUELLE DES MOTARDS;675;Quelques fois par semaine;8000;Daytona;Triumph;Sportive;Parking privé clos;Pour les trajets domicile travail;;Responsable rayon fruits et Légumes;Employé;False
En couple sans enfant;Homme;2;1;0;59;70 et plus;2009;MAAF;1200;Quelques fois par mois;4000;R1200R ABS ASC +PACK;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;400;informatique;Retraité;False
En couple avec enfant(s);Homme;3;1;1;60;50-59 ans;2011;MACIF;1300;Tous les jours;22000;PAN EUROPEAN ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1900;cadre technique;Cadre;False
