Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;2;1;0;66;60-69 ans;2000;MACIF;850;Tous les jours;5000;R850R;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;SNCF;Retraité;False
En couple avec enfant(s);Homme;3;2;1;25;40-49 ans;2008;ASSURANCE CREDIT MUTUEL (ACM);1200;Quelques fois par mois;5000;R1200R;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1200;Agent de méthode en industrial;Employé;False
En couple avec enfant(s);Homme;4;1;2;60;40-49 ans;2016;MUTUELLE DES MOTARDS;1200;Tous les jours;30000;TIGER EXPLORER XRT;TRIUMPH;Routière / GT;Autre;Pour les trajets domicile travail;150;Informaticien;Profession libérale et artistique;True
En couple sans enfant;Homme;2;1;0;76;60-69 ans;2016;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;5000;CB 1000FA ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1500;CADRE COMMERCIAL;Cadre;False
En couple avec enfant(s);Homme;3;1;1;34;60-69 ans;2008;MATMUT;1300;Quelques fois par semaine;8000;FJR 1300AS;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;fonctionnaire aux finances;Cadre;False
En couple sans enfant;Homme;2;2;0;91;50-59 ans;1996;MUTUELLE DES MOTARDS;500;Quelques fois par mois;3000;SR;YAMAHA;Scooter;Garage individuel (ou box privatif);Pour les loisirs;150;EXPERT AUTOMOBILE;Profession libérale et artistique;False
En couple avec enfant(s);Homme;4;1;2;34;40-49 ans;2001;MACIF;1000;Quelques fois par semaine;50000;R1 (YZF-R1);YAMAHA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;300;Directeur commercial;Cadre;False
En couple sans enfant;Homme;2;1;0;29;60-69 ans;2000;MUTUELLE DES MOTARDS;1150;Quelques fois par mois;15000;R1150R;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;agent EDF;Retraité;False
En couple avec enfant(s);Homme;3;3;1;91;60-69 ans;1999;MUTUELLE DES MOTARDS;1100;Tous les jours;3000;CBR-XX IE SUPER BLACKBIRD;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;200;Chef dentreprise;Artisan, commerçant assimilé;False
En couple avec enfant(s);Femme;4;2;2;78;50-59 ans;2012;MACIF;1050;Quelques fois par mois;5000;SPRINT GT;TRIUMPH;Routière / GT;Parking privé clos;Pour les loisirs;;Responsable RH;Cadre;False
En couple sans enfant;Homme;2;1;0;31;40-49 ans;2019;AMV (ASSURANCE MOTO VERTE);125;Tous les jours;10000;FORZA (NSS125AD);HONDA;Scooter;Autre;Pour les trajets domicile travail;500;Responsable disaptch;Cadre;False
En couple sans enfant;Homme;2;1;0;13;60-69 ans;2009;MUTUELLE DES MOTARDS;400;Tous les jours;5000;SW-T ABS;HONDA;Scooter;Parking privé clos;Pour les trajets professionnels;;agent immobilier;Retraité;False
Seul(e) avec enfants;Homme;2;2;1;44;50-59 ans;2007;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;15000;FJR 1300AS;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;150;routier;Ouvrier;False
En couple avec enfant(s);Homme;4;1;2;59;60-69 ans;2003;MACIF;1000;Quelques fois par mois;2600;SV-S;SUZUKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;500;Ingénieur de maintenance;Cadre;True
En couple sans enfant;Homme;2;3;0;62;60-69 ans;1970;MUTUELLE DES MOTARDS;50;Quelques fois par mois;1000;AMIGO;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;cadre bancaire;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;34;60-69 ans;2016;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;10000;VERSYS (FULL);KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;800;Retraité;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;13;50-59 ans;2019;MUTUELLE DES MOTARDS;850;Tous les jours;20000;V85TT;Moto Guzzy;;Voie publique;Pour les trajets domicile travail;;Chef de projet;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;78;30-39 ans;2012;MAIF;650;Quelques fois par semaine;12000;ER-6F ABS  35KW;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;;consultant informatique;Cadre;False
En couple sans enfant;Homme;2;1;0;30;50-59 ans;2012;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;3000;VERSYS;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;technicien SAV;Employé;False
En couple sans enfant;Homme;2;3;0;44;60-69 ans;2001;MUTUELLE DES MOTARDS;900;Tous les jours;16000;XJS DIVERSION GT;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;sapeur pompier professionnel;Retraité;True
Seul(e) sans enfant;Homme;1;1;0;18;50-59 ans;2005;MUTUELLE DES MOTARDS;955;Quelques fois par mois;5000;SPRINT RS;TRIUMPH;Routière / GT;Parking privé non clos;Pour les loisirs;800;OUVRIER MAINTENANCE;Ouvrier;True
En couple avec enfant(s);Homme;4;1;2;75;50-59 ans;2017;AMV (ASSURANCE MOTO VERTE);750;Tous les jours;10000;NC750SD DCT;HONDA;Trail / Supermotard;Voie publique;Pour les trajets professionnels;1000;commercial immobilier;Employé;False
En couple avec enfant(s);Homme;3;2;1;91;40-49 ans;2006;MACIF;1000;Quelques fois par semaine;8000;Cbf;Honda;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;SAGE FEMME;Employé;False
Autre;Homme;3;1;0;84;Moins de 30 ans;2013;MUTUELLE DES MOTARDS;500;Quelques fois par mois;2000;CB 500FA;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;Agent commercial niveaux 2;Employé;False
En couple avec enfant(s);Homme;3;6;1;60;60-69 ans;1995;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;7000;R100RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;sans;Retraité;False
En couple sans enfant;Homme;2;2;0;84;70 et plus;2013;MUTUELLE DES MOTARDS;800;Quelques fois par mois;6000;W800;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;artisan electricien retraité;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;95;Moins de 30 ans;2013;MATMUT;750;Tous les jours;10000;GSR ABS;SUZUKI;Roadster;Parking privé non clos;Pour les trajets domicile travail;300;Machiniste RATP;Employé;False
En couple avec enfant(s);Homme;3;2;1;76;40-49 ans;2018;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;5000;MT-07 TRACER;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;operateur industrie chimique;Employé;False
En couple sans enfant;Homme;2;1;0;69;30-39 ans;2012;MUTUELLE DES MOTARDS;700;Tous les jours;6000;NC700XA;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;700;CRM Manager;Cadre;False
En couple avec enfant(s);Homme;5;1;3;17;40-49 ans;2017;MUTUELLE DES MOTARDS;1400;Tous les jours;10000;ZZR ABS (FULL);KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;electrotechnicien;Employé;False
En couple sans enfant;Homme;2;2;0;13;60-69 ans;2013;MUTUELLE DES MOTARDS;1600;Quelques fois par semaine;20000;K1600GT SPORT PACK SECURITE;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;comptable;Retraité;False
En couple sans enfant;Homme;2;2;0;33;60-69 ans;2019;AMV (ASSURANCE MOTO VERTE);125;Quelques fois par mois;2000;PULSION RS;PEUGEOT;Scooter;Garage individuel (ou box privatif);Pour les loisirs;300;Profession libérale;Retraité;False
En couple avec enfant(s);Femme;3;2;1;9;60-69 ans;1996;GMF;750;Quelques fois par mois;1500;CB-SEVEN FIFTY;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Retraitée fonction publique ho;Retraité;False
En couple avec enfant(s);Homme;4;3;2;49;50-59 ans;1992;MACIF;250;Tous les jours;2000;ETZ 251;MZ;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;26;Moins de 30 ans;2019;MACIF;1290;Quelques fois par semaine;10000;SUPER ADVENTURE S;KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Salarier : Consultant infrastructure;Cadre;False
En couple sans enfant;Homme;2;1;0;67;50-59 ans;2016;MACIF;1000;Quelques fois par semaine;4000;AFRICA-TWIN;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;200;patissier;Ouvrier;False
Autre;Homme;4;5;0;54;Moins de 30 ans;2010;AUTRE;660;Quelques fois par semaine;6000;MT03 34CV;YAMAHA;Roadster;;Pour les loisirs;300;Paysagiste;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;4;3;2;78;50-59 ans;2010;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;3000;FJR 1300A;YAMAHA;Routière / GT;Parking privé clos;Pour les loisirs;300;Ordonnaceur et Dispatcheur;Employé;True
En couple avec enfant(s);Homme;5;1;3;36;40-49 ans;2004;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;5000;GSX;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;géologue;Employé;False
En couple sans enfant;Femme;2;4;0;94;50-59 ans;2004;MUTUELLE DES MOTARDS;1100;Quelques fois par mois;3000;V11 LE MANS ROSSO CORSA;MOTO GUZZI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Productrice;Cadre;False
En couple avec enfant(s);Homme;4;2;2;26;50-59 ans;2005;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;3000;R1200C CLASSIC;BMW;Custom;Garage individuel (ou box privatif);Pour les loisirs;;technicein commercial;Cadre;False
En couple avec enfant(s);Homme;3;4;1;13;50-59 ans;1999;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;1000;X1 LIGHTNING;BUELL;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Responsable dEquipe Orange;Cadre;False
Autre;Homme;4;2;0;18;30-39 ans;2001;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;2000;R1 (YZF-R1);YAMAHA;Sportive;Parking privé clos;Pour les loisirs;1000;Mécanicien Automobile;Ouvrier;False
En couple avec enfant(s);Homme;3;2;1;33;50-59 ans;2003;MUTUELLE DES MOTARDS;1150;Quelques fois par semaine;5000;R1150GS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Technicien en informatique;Employé;False
En couple sans enfant;Homme;2;1;0;72;50-59 ans;2006;MMA;1000;Tous les jours;8000;VARADERO IE ABS TRAVEL EDITION;HONDA;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;4670;cadre assurance;Cadre;False
En couple avec enfant(s);Homme;5;1;3;61;40-49 ans;2018;PACIFICA (CREDIT AGRICOLE);900;Tous les jours;10000;MT-09 TRACER;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;600;INFIRMIER LIBERAL;Profession libérale et artistique;False
Seul(e) avec enfants;Femme;3;2;2;13;50-59 ans;2015;MACIF;650;Tous les jours;10000;BANDIT-S;SUZUKI;Custom;Garage collectif;Pour les trajets domicile travail;700;infirmiere;Employé;False
Autre;Homme;2;1;0;69;30-39 ans;2009;MUTUELLE DES MOTARDS;650;Tous les jours;10000;"ER-6 ""N""";KAWASAKI;Roadster;Parking public non clos;Pour les trajets domicile travail;;cordiste;Ouvrier;False
Autre;Homme;3;2;0;95;60-69 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;10000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;Responsable qualité;Cadre;False
Seul(e) sans enfant;Homme;1;7;0;71;50-59 ans;2018;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;AFRICA-TWIN ADVENTURE SPORTS;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;Balancier;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;2;1;0;76;30-39 ans;2018;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;2500;Z1000 IE SX TOURER ABS (FULL);KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;200;Ingénieur;Cadre;False
En couple avec enfant(s);Homme;5;1;3;47;50-59 ans;2001;MACIF;944;Quelques fois par semaine;4000;ST2 (SPORT-TOURING2);DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Directeur détablissement médi;Chef dentreprise de 10 salariés ou plus;True
En couple avec enfant(s);Homme;3;3;1;79;50-59 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;15000;NORGE GT 8V;MOTO GUZZI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;RESPONSABLE PRODUCTION;Cadre;False
En couple sans enfant;Homme;2;3;0;31;60-69 ans;1976;MUTUELLE DES MOTARDS;125;Quelques fois par an;500;GT;SUZUKI;Roadster;Parking privé clos;Pour les loisirs;1500;Retraité;Retraité;False
En couple sans enfant;Homme;2;1;0;38;50-59 ans;2013;MACIF;1200;Tous les jours;9000;R1200GS ADVENTURE ABS 90TH;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Responsable de site automobile;Cadre;False
Seul(e) sans enfant;Homme;1;4;0;88;40-49 ans;1987;MUTUELLE DES MOTARDS;350;Quelques fois par semaine;500;XL-R;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;50;Technicien de maintenance;Employé;False
En couple avec enfant(s);Homme;5;2;3;38;50-59 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;R1200GS ADVENTURE ABS PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;600;Gérant de société;Artisan, commerçant assimilé;False
Seul(e) avec enfants;Homme;3;1;2;77;50-59 ans;2014;MACIF;800;Tous les jours;14000;VFR-F V-TEC ABS;HONDA;Routière / GT;Garage collectif;Pour les trajets domicile travail;500;Employé de banque;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;92;50-59 ans;2017;MACIF;125;Tous les jours;12000;MT-125 ABS;YAMAHA;Routière / GT;Parking privé non clos;Pour les trajets domicile travail;600;technicien;Employé;True
En couple sans enfant;Homme;2;4;0;37;30-39 ans;2007;MUTUELLE DES MOTARDS;999;Quelques fois par semaine;5000;999 SUPERBIKE S BIPOSTO;DUCATI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;2000;Mécanicien moto;Employé;False
En couple sans enfant;Homme;2;1;0;91;70 et plus;2010;MUTUELLE DES MOTARDS;900;Quelques fois par mois;1000;BONNEVILLE IE T100;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;100;Retraité;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;13;Moins de 30 ans;2016;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;12000;VERSYS;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;Ingénieur développement informatique;Cadre;False
En couple sans enfant;Homme;2;1;0;31;70 et plus;2018;MAIF;700;Quelques fois par mois;9000;MT-07 TRACER;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;493;Retraité;Retraité;False
En couple avec enfant(s);Homme;3;2;1;83;50-59 ans;2007;MUTUELLE DES MOTARDS;125;Tous les jours;12000;VARADERO IE DELUXE;HONDA;Trail / Supermotard;;Pour les trajets professionnels;;Agent GRDF;Cadre;False
En couple sans enfant;Homme;2;1;0;88;50-59 ans;2012;MAAF;1200;Quelques fois par mois;4000;R1200GS RALLYE;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;1000;commercial;Employé;False
En couple avec enfant(s);Homme;3;2;1;83;60-69 ans;2009;MUTUELLE DES MOTARDS;125;Quelques fois par mois;2500;ERIDER (ELECTRIQUE);ARNGREN;Scooter;Garage individuel (ou box privatif);Pour les loisirs;300;Technicien informatique électr;Employé;False
En couple avec enfant(s);Homme;5;1;3;73;50-59 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15003;R1200RT PACK;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;4000;technicien;Profession intermédiaire;True
En couple sans enfant;Homme;2;1;0;34;50-59 ans;2007;MAIF;600;Quelques fois par mois;3000;"FZ6 ""S2""";YAMAHA;Roadster;Parking privé non clos;Pour les loisirs;200;Professeur en lycée professionnel;Retraité;True
Seul(e) avec enfants;Homme;3;1;2;69;50-59 ans;2010;MUTUELLE DES MOTARDS;750;Quelques fois par mois;1500;BREVA TOURING;MOTO GUZZI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Fiscaliste;Cadre;False
En couple sans enfant;Homme;2;2;0;59;60-69 ans;1998;MACIF;900;Quelques fois par semaine;10000;XJS DIVERSION;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;150;retraité;Retraité;False
En couple avec enfant(s);Homme;4;1;2;92;40-49 ans;2016;MUTUELLE DES MOTARDS;1200;Tous les jours;10000;R NINE T;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Responsable comptable;Cadre;False
En couple avec enfant(s);Homme;4;1;2;69;40-49 ans;2010;AUTRE;1200;Quelques fois par semaine;5000;XTZ SUPER TENERE FIRST EDITION;YAMAHA;Trail / Supermotard;Garage collectif;Pour les loisirs;500;Gendarme motocycliste;Employé;False
En couple avec enfant(s);Femme;4;2;2;63;40-49 ans;2005;MUTUELLE DES MOTARDS;600;Quelques fois par semaine;3000;HORNET;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;;Planificateur de projets et gestionnaire de ressources;Cadre;False
En couple avec enfant(s);Homme;3;1;1;31;30-39 ans;2007;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;9500;R1200GS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Employé de commerce;Employé;False
En couple sans enfant;Homme;2;2;0;45;40-49 ans;1991;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;4000;ZZR;Kawasaki;Routière / GT;;Pour les trajets domicile travail;;crepier;Artisan, commerçant assimilé;True
En couple avec enfant(s);Homme;3;3;1;31;50-59 ans;1991;MACIF;1000;Quelques fois par semaine;8000;R100GS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;formateur;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;4;1;2;21;50-59 ans;2003;MACIF;900;Quelques fois par semaine;7000;TDM;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;RESPONSABLE BUREAU ETUDE;Cadre;False
En couple sans enfant;Homme;2;2;0;95;30-39 ans;1998;MUTUELLE DES MOTARDS;600;Quelques fois par an;1000;THUNDERCAT (YZF-R);YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Directeur travaux;Cadre;True
Seul(e) sans enfant;Homme;1;2;0;38;50-59 ans;2005;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;5000;F650CS SCARVER ABS;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;Directeur qualité;Cadre;False
Autre;Homme;5;2;0;7;60-69 ans;2007;MACIF;1000;Quelques fois par mois;3000;CB 1000FA ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;peintre;Ouvrier;False
En couple sans enfant;Homme;2;2;0;59;60-69 ans;2004;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;8000;R1100RT;BMW;Routière / GT;Parking privé clos;Pour les loisirs;51;retraite;Retraité;False
En couple avec enfant(s);Homme;3;5;1;68;50-59 ans;1982;GAN;1000;Quelques fois par semaine;5000;R100/7;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Fondeur;Ouvrier;False
En couple avec enfant(s);Homme;3;2;1;60;40-49 ans;2011;FMA;1200;Quelques fois par mois;4000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;250;Informaticien;Cadre;False
En couple avec enfant(s);Homme;3;2;1;54;50-59 ans;2001;MACIF;1100;Tous les jours;15000;X-11  ELEVEN;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;postier;Profession intermédiaire;False
En couple avec enfant(s);Homme;3;1;1;21;40-49 ans;2018;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;3500;Z1000 IE SX ABS (FULL);KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;responsable qualité-sécurité-environnement;Cadre;False
En couple avec enfant(s);Homme;3;3;1;75;60-69 ans;2013;MACIF;990;Quelques fois par mois;18000;SM-T;KTM;Trail / Supermotard;Garage collectif;Pour les loisirs;3000;Directeur général;Chef dentreprise de 10 salariés ou plus;False
En couple sans enfant;Homme;2;1;0;59;60-69 ans;2002;MATMUT;900;Quelques fois par semaine;10000;XJS DIVERSION FREEWAY 97;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;agent technique;Retraité;False
En couple sans enfant;Homme;2;5;0;91;50-59 ans;1992;MACIF;1100;Tous les jours;12000;K1100LT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;informaticien;Cadre;False
En couple avec enfant(s);Homme;3;1;1;77;70 et plus;1992;MUTUELLE DES MOTARDS;750;Quelques fois par semaine;8000;K75RT ABS;BMW;Routière / GT;Garage collectif;Pour les loisirs;300;retraité;Retraité;False
En couple avec enfant(s);Homme;3;3;1;68;50-59 ans;2002;MAAF;600;Quelques fois par semaine;8000;FZS FAZER;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;agent dentretien;Employé;False
En couple avec enfant(s);Homme;5;3;3;29;50-59 ans;2000;MUTUELLE DES MOTARDS;900;Tous les jours;10000;SPORT IE;DUCATI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;CHARGE DAFFAIRES;Employé;False
En couple avec enfant(s);Homme;4;1;2;83;50-59 ans;2011;AMV (ASSURANCE MOTO VERTE);1050;Quelques fois par semaine;6000;SPEED TRIPLE;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Informaticien;Cadre;True
En couple avec enfant(s);Homme;5;1;3;29;50-59 ans;2004;MUTUELLE DES MOTARDS;1200;Tous les jours;8000;R1200GS ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;policier;Cadre;False
Autre;Homme;4;1;1;30;50-59 ans;1994;MUTUELLE DES MOTARDS;900;Tous les jours;8000;CBR-RR FIREBLADE;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Infirmier Anesthésiste;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;1;0;33;50-59 ans;2013;AMV (ASSURANCE MOTO VERTE);1300;Tous les jours;15000;FJR 1300;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;;ingénieur conseil;Cadre;False
En couple sans enfant;Homme;2;2;0;17;60-69 ans;2013;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;3500;R1200GS PACK + ASC;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3500;Retraité;Retraité;False
En couple sans enfant;Homme;2;1;0;75;30-39 ans;2002;MUTUELLE DES MOTARDS;1150;Quelques fois par semaine;20000;R1150GS ABS;BMW;Trail / Supermotard;Parking privé clos;Pour les loisirs;500;Consultant en SI;Cadre;False
Seul(e) avec enfants;Homme;3;1;2;97;40-49 ans;2009;AUTRE;1000;Quelques fois par mois;2000;SPORT CLASSIC BIPOSTO;DUCATI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;300;Informaticien;Employé;False
Seul(e) avec enfants;Homme;2;1;1;91;30-39 ans;2017;AMV (ASSURANCE MOTO VERTE);650;Tous les jours;10000;SV-N ABS;SUZUKI;Roadster;Garage collectif;Pour les trajets domicile travail;;Fonctionnaire;Profession intermédiaire;False
En couple sans enfant;Homme;2;1;0;92;70 et plus;2010;MUTUELLE DES MOTARDS;300;Quelques fois par semaine;4000;MP3 LT;PIAGGIO;Scooter;Garage individuel (ou box privatif);Pour les loisirs;;Retraité;Retraité;False
Seul(e) sans enfant;Homme;1;4;0;73;60-69 ans;2002;MACIF;1150;Quelques fois par semaine;3000;R1150RS;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;technicien courant faible;Retraité;False
En couple sans enfant;Homme;2;1;0;75;Moins de 30 ans;2019;AMV (ASSURANCE MOTO VERTE);765;Quelques fois par semaine;3000;STREET TRIPLE R;TRIUMPH;Roadster;Parking privé clos;Pour les loisirs;;Responsable clientele;Profession intermédiaire;False
En couple avec enfant(s);Homme;4;2;2;38;50-59 ans;1999;MACIF;650;Quelques fois par an;500;SV;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;100;Technicien dexploitation;Profession intermédiaire;False
En couple avec enfant(s);Homme;4;1;2;77;50-59 ans;1995;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;4000;R100RT CLASSIC;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;en recherche;En recherche demploi;False
En couple avec enfant(s);Homme;4;3;2;91;60-69 ans;1989;AUTRE;1400;Quelques fois par mois;3000;INTRUDER (VS);SUZUKI;Custom;Garage individuel (ou box privatif);Pour les loisirs;500;Technicien;Retraité;False
En couple avec enfant(s);Homme;4;1;2;92;40-49 ans;2019;AMF;400;Tous les jours;14000;NINJA 400;KAWASAKI;Sportive;Parking privé clos;Pour les trajets domicile travail;;Chef dEntreprise;Cadre;False
En couple sans enfant;Homme;2;1;0;31;60-69 ans;2009;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;15000;K1200LT FL;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Coordinateur réseau agents marins;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;56;40-49 ans;1992;MUTUELLE DES MOTARDS;600;Quelques fois par semaine;5000;XJ-S DIVERSION;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;agent de maitrise;Ouvrier;False
Seul(e) avec enfants;Homme;2;1;1;77;50-59 ans;2001;AXA;800;Quelques fois par mois;3000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;gestionnaire paie;Profession intermédiaire;False
En couple avec enfant(s);Homme;5;3;3;69;30-39 ans;2004;MUTUELLE DES MOTARDS;650;Tous les jours;6000;V-STROM;SUZUKI;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;1500;surveillant chantier;Employé;False
Seul(e) avec enfants;Homme;3;1;2;31;40-49 ans;2017;APRIL MOTO (AMT);939;Quelques fois par mois;5000;HYPERMOTARD;DUCATI;Trail / Supermotard;Parking privé clos;Pour les loisirs;1000;COMMERCIAL;Cadre;False
